Região Geográfica;Unidade da Federação;Município;Código do Município;Número de Matrículas da Educação Básica;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total1-3;Sexo e Cor/Raça;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Feminino;;;;;;;Masculino;;;;;;;;;;;;;;;;
;;;;;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Norte  ; Rondônia  ; Guajará-Mirim  ;1100106; 11.049 ; 5.446 ; 224 ; 696 ; 80 ; 3.520 ; 6 ; 920 ; 5.603 ; 242 ; 653 ; 94 ; 3.652 ; 12 ; 950 ;;;;;;;;;;
 Norte  ; Rondônia  ; Itapuã do Oeste  ;1101104; 2.564 ; 1.223 ; 140 ; 202 ; 33 ; 844 ; 2 ; 2 ; 1.341 ; 161 ; 184 ; 55 ; 939 ; -   ; 2 ;;;;;;;;;;
 Norte  ; Rondônia  ; Jaru  ;1100114; 11.818 ; 5.918 ; 87 ; 1.922 ; 208 ; 3.672 ; 25 ; 4 ; 5.900 ; 71 ; 1.787 ; 239 ; 3.761 ; 35 ; 7 ;;;;;;;;;;
 Norte  ; Rondônia  ; Ji-Paraná  ;1100122; 28.984 ; 14.231 ; 2.337 ; 3.776 ; 392 ; 7.348 ; 70 ; 308 ; 14.753 ; 2.277 ; 3.809 ; 419 ; 7.888 ; 66 ; 294 ;;;;;;;;;;
 Norte  ; Rondônia  ; Machadinho D'Oeste  ;1100130; 7.895 ; 3.724 ; 1.119 ; 564 ; 88 ; 1.911 ; 38 ; 4 ; 4.171 ; 1.360 ; 507 ; 93 ; 2.158 ; 50 ; 3 ;;;;;;;;;;
 Norte  ; Rondônia  ; Ministro Andreazza  ;1101203; 1.501 ; 754 ; 15 ; 208 ; 22 ; 495 ; 1 ; 13 ; 747 ; 12 ; 193 ; 10 ; 520 ; 1 ; 11 ;;;;;;;;;;
 Norte  ; Rondônia  ; Mirante da Serra  ;1101302; 2.412 ; 1.186 ; 33 ; 390 ; 45 ; 691 ; 3 ; 24 ; 1.226 ; 26 ; 359 ; 39 ; 774 ; 4 ; 24 ;;;;;;;;;;
 Norte  ; Rondônia  ; Monte Negro  ;1101401; 2.899 ; 1.368 ; 54 ; 442 ; 55 ; 817 ; -   ; -   ; 1.531 ; 80 ; 461 ; 57 ; 930 ; 3 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Nova Brasilândia D'Oeste  ;1100148; 3.635 ; 1.824 ; 1.237 ; 197 ; 10 ; 378 ; -   ; 2 ; 1.811 ; 1.283 ; 185 ; 12 ; 328 ; 1 ; 2 ;;;;;;;;;;
 Norte  ; Rondônia  ; Nova Mamoré  ;1100338; 6.736 ; 3.271 ; 976 ; 520 ; 55 ; 1.504 ; 13 ; 203 ; 3.465 ; 1.085 ; 485 ; 85 ; 1.561 ; 17 ; 232 ;;;;;;;;;;
 Norte  ; Rondônia  ; Nova União  ;1101435; 1.202 ; 620 ; 42 ; 206 ; 14 ; 358 ; -   ; -   ; 582 ; 37 ; 159 ; 20 ; 366 ; -   ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Novo Horizonte do Oeste  ;1100502; 1.879 ; 939 ; 255 ; 280 ; 18 ; 384 ; 1 ; 1 ; 940 ; 265 ; 241 ; 27 ; 400 ; 4 ; 3 ;;;;;;;;;;
 Norte  ; Rondônia  ; Ouro Preto do Oeste  ;1100155; 7.730 ; 3.726 ; 79 ; 1.167 ; 114 ; 2.344 ; 17 ; 5 ; 4.004 ; 83 ; 1.158 ; 147 ; 2.604 ; 11 ; 1 ;;;;;;;;;;
 Norte  ; Rondônia  ; Parecis  ;1101450; 792 ; 395 ; 40 ; 116 ; 11 ; 221 ; 4 ; 3 ; 397 ; 48 ; 100 ; 18 ; 216 ; 8 ; 7 ;;;;;;;;;;
 Norte  ; Rondônia  ; Pimenta Bueno  ;1100189; 9.200 ; 4.586 ; 238 ; 1.445 ; 113 ; 2.727 ; 13 ; 50 ; 4.614 ; 205 ; 1.512 ; 131 ; 2.712 ; 8 ; 46 ;;;;;;;;;;
 Norte  ; Rondônia  ; Pimenteiras do Oeste  ;1101468; 556 ; 267 ; -   ; 67 ; 23 ; 170 ; 1 ; 6 ; 289 ; 1 ; 79 ; 32 ; 170 ; 1 ; 6 ;;;;;;;;;;
 Norte  ; Rondônia  ; Porto Velho  ;1100205; 123.397 ; 60.849 ; 8.987 ; 11.097 ; 1.208 ; 38.977 ; 290 ; 290 ; 62.548 ; 9.153 ; 10.739 ; 1.460 ; 40.661 ; 269 ; 266 ;;;;;;;;;;
 Norte  ; Rondônia  ; Presidente Médici  ;1100254; 3.949 ; 1.926 ; 996 ; 285 ; 20 ; 621 ; 3 ; 1 ; 2.023 ; 1.085 ; 292 ; 15 ; 629 ; 1 ; 1 ;;;;;;;;;;
 Norte  ; Rondônia  ; Primavera de Rondônia  ;1101476; 750 ; 335 ; 19 ; 135 ; 7 ; 170 ; 3 ; 1 ; 415 ; 20 ; 149 ; 10 ; 234 ; 2 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Rio Crespo  ;1100262; 812 ; 370 ; 177 ; 55 ; 8 ; 129 ; 1 ; -   ; 442 ; 202 ; 61 ; 24 ; 150 ; 5 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; Rolim de Moura  ;1100288; 11.882 ; 5.789 ; 933 ; 1.625 ; 137 ; 3.067 ; 21 ; 6 ; 6.093 ; 1.011 ; 1.710 ; 165 ; 3.169 ; 29 ; 9 ;;;;;;;;;;
 Norte  ; Rondônia  ; Santa Luzia D'Oeste  ;1100296; 1.409 ; 696 ; 3 ; 215 ; 36 ; 438 ; 4 ; -   ; 713 ; 2 ; 194 ; 43 ; 467 ; 5 ; 2 ;;;;;;;;;;
 Norte  ; Rondônia  ; São Felipe D'Oeste  ;1101484; 1.068 ; 529 ; 46 ; 189 ; 13 ; 280 ; 1 ; -   ; 539 ; 53 ; 159 ; 14 ; 312 ; 1 ; -   ;;;;;;;;;;
 Norte  ; Rondônia  ; São Francisco do Guaporé  ;1101492; 4.015 ; 1.906 ; 218 ; 452 ; 36 ; 1.172 ; 2 ; 26 ; 2.109 ; 277 ; 445 ; 44 ; 1.327 ; 5 ; 11 ;;;;;;;;;;
