Região Geográfica;Unidade da Federação;Município;Código do Município;Número de Matrículas da Educação Básica;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total1-3;Sexo e Cor/Raça;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Feminino;;;;;;;Masculino;;;;;;;;;;;;;;;;
;;;;;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Cabo de Santo Agostinho  ;2602902; 52.645 ; 25.793 ; 10.804 ; 3.220 ; 1.022 ; 10.600 ; 119 ; 28 ; 26.852 ; 11.090 ; 3.187 ; 1.165 ; 11.275 ; 113 ; 22 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Cabrobó  ;2603009; 8.661 ; 4.270 ; 2.053 ; 231 ; 72 ; 1.405 ; 5 ; 504 ; 4.391 ; 2.044 ; 225 ; 83 ; 1.496 ; 5 ; 538 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Cachoeirinha  ;2603108; 4.278 ; 2.131 ; 542 ; 622 ; 49 ; 914 ; 3 ; 1 ; 2.147 ; 579 ; 594 ; 60 ; 911 ; 2 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Caetés  ;2603207; 6.356 ; 3.058 ; 1.447 ; 727 ; 29 ; 842 ; 9 ; 4 ; 3.298 ; 1.578 ; 774 ; 25 ; 914 ; 5 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Calçado  ;2603306; 2.089 ; 959 ; 10 ; 307 ; 13 ; 629 ; -   ; -   ; 1.130 ; 16 ; 337 ; 10 ; 765 ; 2 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Calumbi  ;2603405; 1.477 ; 732 ; 73 ; 115 ; 8 ; 534 ; -   ; 2 ; 745 ; 79 ; 141 ; 10 ; 513 ; 2 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Camaragibe  ;2603454; 35.800 ; 18.157 ; 9.811 ; 1.963 ; 481 ; 5.835 ; 50 ; 17 ; 17.643 ; 9.542 ; 1.829 ; 515 ; 5.721 ; 28 ; 8 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Camocim de São Félix  ;2603504; 3.841 ; 1.860 ; 196 ; 761 ; 45 ; 841 ; 17 ; -   ; 1.981 ; 177 ; 773 ; 49 ; 967 ; 15 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Camutanga  ;2603603; 2.124 ; 1.061 ; 245 ; 201 ; 12 ; 599 ; 1 ; 3 ; 1.063 ; 266 ; 182 ; 27 ; 583 ; 3 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Canhotinho  ;2603702; 5.825 ; 2.640 ; 235 ; 754 ; 37 ; 1.610 ; 4 ; -   ; 3.185 ; 287 ; 747 ; 59 ; 2.087 ; 5 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Capoeiras  ;2603801; 4.146 ; 2.045 ; 986 ; 570 ; 22 ; 463 ; 2 ; 2 ; 2.101 ; 1.021 ; 630 ; 19 ; 429 ; -   ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Carnaíba  ;2603900; 4.983 ; 2.520 ; 689 ; 696 ; 53 ; 1.076 ; 5 ; 1 ; 2.463 ; 639 ; 675 ; 52 ; 1.096 ; 1 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Carnaubeira da Penha  ;2603926; 4.587 ; 2.191 ; 217 ; 30 ; 13 ; 382 ; -   ; 1.549 ; 2.396 ; 234 ; 35 ; 8 ; 417 ; -   ; 1.702 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Carpina  ;2604007; 19.575 ; 9.937 ; 2.377 ; 1.862 ; 404 ; 5.275 ; 12 ; 7 ; 9.638 ; 2.240 ; 1.723 ; 384 ; 5.273 ; 9 ; 9 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Caruaru  ;2604106; 87.592 ; 43.894 ; 8.092 ; 12.346 ; 727 ; 22.640 ; 65 ; 24 ; 43.698 ; 7.530 ; 12.324 ; 749 ; 23.030 ; 51 ; 14 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Casinhas  ;2604155; 3.029 ; 1.464 ; 1.050 ; 207 ; 22 ; 185 ; -   ; -   ; 1.565 ; 1.168 ; 205 ; 12 ; 178 ; 2 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Catende  ;2604205; 7.642 ; 3.805 ; 731 ; 733 ; 99 ; 2.232 ; 9 ; 1 ; 3.837 ; 681 ; 740 ; 108 ; 2.298 ; 9 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Cedro  ;2604304; 2.676 ; 1.305 ; 209 ; 221 ; 12 ; 861 ; 2 ; -   ; 1.371 ; 226 ; 208 ; 24 ; 909 ; 1 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Chã de Alegria  ;2604403; 3.094 ; 1.494 ; 874 ; 99 ; 22 ; 497 ; 1 ; 1 ; 1.600 ; 889 ; 113 ; 21 ; 577 ; -   ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Chã Grande  ;2604502; 6.678 ; 3.401 ; 2.308 ; 381 ; 26 ; 679 ; 2 ; 5 ; 3.277 ; 2.110 ; 395 ; 30 ; 738 ; 1 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Condado  ;2604601; 6.151 ; 2.907 ; 831 ; 328 ; 96 ; 1.650 ; 1 ; 1 ; 3.244 ; 943 ; 329 ; 116 ; 1.852 ; 2 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Correntes  ;2604700; 3.557 ; 1.706 ; 307 ; 440 ; 17 ; 927 ; 12 ; 3 ; 1.851 ; 341 ; 473 ; 25 ; 996 ; 13 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Cortês  ;2604809; 2.926 ; 1.430 ; 503 ; 178 ; 16 ; 731 ; 2 ; -   ; 1.496 ; 498 ; 169 ; 21 ; 806 ; 1 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Cumaru  ;2604908; 3.517 ; 1.719 ; 28 ; 779 ; 59 ; 847 ; 6 ; -   ; 1.798 ; 22 ; 760 ; 51 ; 953 ; 12 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Cupira  ;2605004; 6.065 ; 2.969 ; 687 ; 1.042 ; 36 ; 1.196 ; 6 ; 2 ; 3.096 ; 747 ; 1.098 ; 33 ; 1.212 ; 5 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Custódia  ;2605103; 11.379 ; 5.538 ; 2.552 ; 745 ; 165 ; 2.053 ; 18 ; 5 ; 5.841 ; 2.637 ; 721 ; 165 ; 2.302 ; 14 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Dormentes  ;2605152; 3.687 ; 1.786 ; 607 ; 561 ; 26 ; 589 ; 2 ; 1 ; 1.901 ; 692 ; 517 ; 42 ; 646 ; 1 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Escada  ;2605202; 14.233 ; 7.011 ; 3.535 ; 692 ; 96 ; 2.662 ; 25 ; 1 ; 7.222 ; 3.737 ; 666 ; 101 ; 2.682 ; 32 ; 4 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Exu  ;2605301; 7.629 ; 3.749 ; 2.416 ; 278 ; 37 ; 998 ; 13 ; 7 ; 3.880 ; 2.538 ; 259 ; 54 ; 1.013 ; 11 ; 5 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Feira Nova  ;2605400; 4.513 ; 2.206 ; 127 ; 690 ; 43 ; 1.340 ; 6 ; -   ; 2.307 ; 128 ; 665 ; 64 ; 1.443 ; 7 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Fernando de Noronha  ;2605459; 623 ; 306 ; 144 ; 63 ; 9 ; 89 ; 1 ; -   ; 317 ; 151 ; 62 ; 7 ; 97 ; -   ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ferreiros  ;2605509; 2.286 ; 1.135 ; 222 ; 269 ; 15 ; 627 ; 1 ; 1 ; 1.151 ; 251 ; 239 ; 14 ; 646 ; 1 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Flores  ;2605608; 4.069 ; 1.945 ; 564 ; 394 ; 14 ; 969 ; 3 ; 1 ; 2.124 ; 561 ; 381 ; 17 ; 1.165 ; -   ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Floresta  ;2605707; 8.970 ; 4.359 ; 1.167 ; 311 ; 157 ; 2.126 ; 5 ; 593 ; 4.611 ; 1.198 ; 342 ; 172 ; 2.211 ; 12 ; 676 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Frei Miguelinho  ;2605806; 2.706 ; 1.320 ; 173 ; 513 ; 6 ; 623 ; 2 ; 3 ; 1.386 ; 186 ; 494 ; 10 ; 694 ; 2 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Gameleira  ;2605905; 5.040 ; 2.483 ; 1.803 ; 108 ; 25 ; 544 ; 2 ; 1 ; 2.557 ; 1.925 ; 104 ; 22 ; 503 ; 2 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Garanhuns  ;2606002; 37.451 ; 19.041 ; 2.231 ; 6.192 ; 509 ; 10.043 ; 46 ; 20 ; 18.410 ; 1.993 ; 5.945 ; 474 ; 9.930 ; 47 ; 21 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Glória do Goitá  ;2606101; 6.469 ; 3.165 ; 1.116 ; 653 ; 100 ; 1.289 ; 5 ; 2 ; 3.304 ; 1.194 ; 657 ; 130 ; 1.315 ; 6 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Goiana  ;2606200; 23.655 ; 12.075 ; 7.335 ; 907 ; 243 ; 3.549 ; 29 ; 12 ; 11.580 ; 7.064 ; 829 ; 202 ; 3.449 ; 26 ; 10 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Granito  ;2606309; 1.853 ; 851 ; 537 ; 38 ; 3 ; 273 ; -   ; -   ; 1.002 ; 656 ; 53 ; 7 ; 281 ; 5 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Gravatá  ;2606408; 17.391 ; 8.653 ; 2.259 ; 3.227 ; 121 ; 3.024 ; 21 ; 1 ; 8.738 ; 2.230 ; 3.200 ; 143 ; 3.154 ; 8 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Iati  ;2606507; 4.520 ; 2.188 ; 803 ; 420 ; 25 ; 936 ; 3 ; 1 ; 2.332 ; 888 ; 452 ; 27 ; 958 ; 6 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ibimirim  ;2606606; 6.249 ; 3.049 ; 348 ; 513 ; 32 ; 1.888 ; 1 ; 267 ; 3.200 ; 341 ; 511 ; 37 ; 1.998 ; 8 ; 305 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ibirajuba  ;2606705; 1.563 ; 724 ; 51 ; 376 ; 5 ; 290 ; 2 ; -   ; 839 ; 45 ; 459 ; 5 ; 330 ; -   ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Igarassu  ;2606804; 26.431 ; 12.767 ; 2.939 ; 1.817 ; 597 ; 7.352 ; 46 ; 16 ; 13.664 ; 3.138 ; 1.770 ; 701 ; 7.988 ; 52 ; 15 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Iguaracy  ;2606903; 2.367 ; 1.165 ; 127 ; 445 ; 17 ; 570 ; 3 ; 3 ; 1.202 ; 147 ; 387 ; 27 ; 633 ; 7 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ilha de Itamaracá  ;2607604; 5.356 ; 2.143 ; 1.147 ; 187 ; 33 ; 774 ; 1 ; 1 ; 3.213 ; 1.478 ; 312 ; 122 ; 1.299 ; 1 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Inajá  ;2607000; 6.072 ; 2.964 ; 1.176 ; 256 ; 27 ; 1.060 ; 1 ; 444 ; 3.108 ; 1.276 ; 256 ; 26 ; 1.076 ; 4 ; 470 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ingazeira  ;2607109; 1.091 ; 550 ; 208 ; 104 ; 8 ; 230 ; -   ; -   ; 541 ; 207 ; 83 ; 8 ; 243 ; -   ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ipojuca  ;2607208; 28.944 ; 14.424 ; 11.040 ; 739 ; 303 ; 2.278 ; 49 ; 15 ; 14.520 ; 11.135 ; 696 ; 293 ; 2.345 ; 39 ; 12 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ipubi  ;2607307; 8.282 ; 4.201 ; 1.897 ; 273 ; 48 ; 1.959 ; 23 ; 1 ; 4.081 ; 1.792 ; 246 ; 53 ; 1.957 ; 31 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Itacuruba  ;2607406; 1.790 ; 897 ; 132 ; 29 ; 70 ; 239 ; -   ; 427 ; 893 ; 157 ; 19 ; 84 ; 240 ; -   ; 393 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Itaíba  ;2607505; 6.086 ; 2.962 ; 130 ; 560 ; 41 ; 2.220 ; 4 ; 7 ; 3.124 ; 153 ; 568 ; 35 ; 2.362 ; 4 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Itambé  ;2607653; 7.773 ; 3.882 ; 777 ; 574 ; 125 ; 2.398 ; 8 ; -   ; 3.891 ; 800 ; 525 ; 116 ; 2.439 ; 8 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Itapetim  ;2607703; 2.970 ; 1.383 ; 843 ; 152 ; 22 ; 363 ; 2 ; 1 ; 1.587 ; 999 ; 172 ; 31 ; 384 ; -   ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Itapissuma  ;2607752; 5.871 ; 2.865 ; 1.608 ; 196 ; 41 ; 998 ; 1 ; 21 ; 3.006 ; 1.696 ; 178 ; 39 ; 1.084 ; 1 ; 8 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Itaquitinga  ;2607802; 3.849 ; 1.788 ; 166 ; 219 ; 80 ; 1.316 ; 6 ; 1 ; 2.061 ; 309 ; 196 ; 114 ; 1.438 ; 3 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Jaboatão dos Guararapes  ;2607901; 125.899 ; 62.382 ; 31.084 ; 8.425 ; 1.695 ; 20.899 ; 230 ; 49 ; 63.517 ; 31.841 ; 8.333 ; 1.792 ; 21.283 ; 212 ; 56 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Jaqueira  ;2607950; 2.670 ; 1.349 ; 694 ; 108 ; 12 ; 529 ; 5 ; 1 ; 1.321 ; 708 ; 99 ; 23 ; 480 ; 10 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Jataúba  ;2608008; 4.480 ; 2.182 ; 421 ; 708 ; 13 ; 1.020 ; 18 ; 2 ; 2.298 ; 397 ; 670 ; 23 ; 1.170 ; 37 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Jatobá  ;2608057; 4.320 ; 2.126 ; 170 ; 170 ; 16 ; 708 ; 1 ; 1.061 ; 2.194 ; 170 ; 166 ; 19 ; 737 ; 2 ; 1.100 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; João Alfredo  ;2608107; 6.110 ; 3.068 ; 461 ; 905 ; 75 ; 1.626 ; 1 ; -   ; 3.042 ; 396 ; 875 ; 77 ; 1.690 ; 1 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Joaquim Nabuco  ;2608206; 2.867 ; 1.401 ; 322 ; 81 ; 41 ; 954 ; 3 ; -   ; 1.466 ; 321 ; 100 ; 43 ; 996 ; 4 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Jucati  ;2608255; 3.113 ; 1.552 ; 50 ; 642 ; 14 ; 844 ; 2 ; -   ; 1.561 ; 52 ; 595 ; 13 ; 898 ; 3 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Jupi  ;2608305; 4.379 ; 2.148 ; 102 ; 745 ; 28 ; 1.273 ; -   ; -   ; 2.231 ; 101 ; 791 ; 20 ; 1.318 ; 1 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Jurema  ;2608404; 3.388 ; 1.680 ; 121 ; 655 ; 9 ; 894 ; -   ; 1 ; 1.708 ; 112 ; 658 ; 11 ; 924 ; 1 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Lagoa de Itaenga  ;2608503; 5.190 ; 2.571 ; 331 ; 526 ; 70 ; 1.637 ; 7 ; -   ; 2.619 ; 316 ; 484 ; 87 ; 1.722 ; 8 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Lagoa do Carro  ;2608453; 3.779 ; 1.833 ; 1.221 ; 211 ; 23 ; 374 ; 4 ; -   ; 1.946 ; 1.319 ; 225 ; 26 ; 373 ; 2 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Lagoa do Ouro  ;2608602; 3.030 ; 1.480 ; 171 ; 598 ; 7 ; 704 ; -   ; -   ; 1.550 ; 178 ; 576 ; 5 ; 790 ; 1 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Lagoa dos Gatos  ;2608701; 3.203 ; 1.579 ; 221 ; 561 ; 35 ; 761 ; 1 ; -   ; 1.624 ; 190 ; 610 ; 35 ; 787 ; 2 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Lagoa Grande  ;2608750; 6.935 ; 3.455 ; 726 ; 386 ; 96 ; 2.209 ; 25 ; 13 ; 3.480 ; 709 ; 410 ; 108 ; 2.208 ; 30 ; 15 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Lajedo  ;2608800; 11.441 ; 5.775 ; 581 ; 1.859 ; 83 ; 3.230 ; 22 ; -   ; 5.666 ; 608 ; 1.794 ; 80 ; 3.166 ; 18 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Limoeiro  ;2608909; 13.969 ; 6.899 ; 1.133 ; 2.249 ; 180 ; 3.313 ; 21 ; 3 ; 7.070 ; 918 ; 2.133 ; 242 ; 3.746 ; 23 ; 8 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Macaparana  ;2609006; 5.841 ; 2.809 ; 1.246 ; 472 ; 43 ; 1.044 ; 3 ; 1 ; 3.032 ; 1.346 ; 463 ; 43 ; 1.171 ; 6 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Machados  ;2609105; 2.795 ; 1.354 ; 137 ; 367 ; 29 ; 820 ; 1 ; -   ; 1.441 ; 137 ; 421 ; 55 ; 827 ; 1 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Manari  ;2609154; 4.602 ; 2.223 ; 370 ; 78 ; 13 ; 1.758 ; 1 ; 3 ; 2.379 ; 367 ; 100 ; 9 ; 1.894 ; 5 ; 4 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Maraial  ;2609204; 2.270 ; 1.150 ; 624 ; 96 ; 10 ; 414 ; 4 ; 2 ; 1.120 ; 667 ; 79 ; 20 ; 341 ; 12 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Mirandiba  ;2609303; 3.959 ; 1.954 ; 160 ; 138 ; 294 ; 1.131 ; 2 ; 229 ; 2.005 ; 158 ; 122 ; 283 ; 1.154 ; 3 ; 285 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Moreilândia  ;2614303; 2.894 ; 1.457 ; 499 ; 203 ; 4 ; 748 ; 3 ; -   ; 1.437 ; 485 ; 198 ; 9 ; 742 ; 2 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Moreno  ;2609402; 11.153 ; 5.400 ; 2.439 ; 369 ; 109 ; 2.470 ; 7 ; 6 ; 5.753 ; 2.522 ; 441 ; 140 ; 2.635 ; 10 ; 5 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Nazaré da Mata  ;2609501; 7.575 ; 3.810 ; 859 ; 597 ; 139 ; 2.211 ; 3 ; 1 ; 3.765 ; 864 ; 605 ; 122 ; 2.168 ; 5 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Olinda  ;2609600; 72.549 ; 36.180 ; 14.366 ; 4.715 ; 1.576 ; 15.340 ; 136 ; 47 ; 36.369 ; 14.322 ; 4.584 ; 1.693 ; 15.613 ; 117 ; 40 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Orobó  ;2609709; 5.714 ; 2.757 ; 856 ; 630 ; 39 ; 1.226 ; 6 ; -   ; 2.957 ; 1.010 ; 621 ; 38 ; 1.269 ; 16 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Orocó  ;2609808; 4.029 ; 1.923 ; 872 ; 57 ; 140 ; 819 ; 2 ; 33 ; 2.106 ; 964 ; 56 ; 119 ; 914 ; 2 ; 51 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ouricuri  ;2609907; 14.728 ; 7.315 ; 2.644 ; 612 ; 61 ; 3.961 ; 30 ; 7 ; 7.413 ; 2.659 ; 524 ; 82 ; 4.123 ; 18 ; 7 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Palmares  ;2610004; 15.607 ; 7.931 ; 2.276 ; 1.234 ; 233 ; 4.150 ; 35 ; 3 ; 7.676 ; 1.896 ; 1.173 ; 263 ; 4.312 ; 28 ; 4 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Palmeirina  ;2610103; 1.633 ; 825 ; 326 ; 154 ; 9 ; 336 ; -   ; -   ; 808 ; 317 ; 137 ; 11 ; 342 ; -   ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Panelas  ;2610202; 7.270 ; 3.564 ; 555 ; 755 ; 61 ; 2.177 ; 13 ; 3 ; 3.706 ; 619 ; 716 ; 57 ; 2.300 ; 12 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Paranatama  ;2610301; 3.083 ; 1.472 ; 81 ; 363 ; 7 ; 1.017 ; 4 ; -   ; 1.611 ; 77 ; 374 ; 6 ; 1.136 ; 18 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Parnamirim  ;2610400; 4.433 ; 2.142 ; 595 ; 271 ; 12 ; 1.261 ; -   ; 3 ; 2.291 ; 587 ; 261 ; 20 ; 1.418 ; 2 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Passira  ;2610509; 5.961 ; 2.906 ; 190 ; 1.007 ; 117 ; 1.583 ; 7 ; 2 ; 3.055 ; 200 ; 979 ; 105 ; 1.766 ; 5 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Paudalho  ;2610608; 13.228 ; 6.498 ; 3.544 ; 576 ; 122 ; 2.248 ; 6 ; 2 ; 6.730 ; 3.530 ; 574 ; 110 ; 2.500 ; 12 ; 4 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Paulista  ;2610707; 63.042 ; 31.360 ; 16.736 ; 3.921 ; 850 ; 9.709 ; 92 ; 52 ; 31.682 ; 16.830 ; 3.765 ; 868 ; 10.127 ; 73 ; 19 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Pedra  ;2610806; 4.736 ; 2.256 ; 912 ; 264 ; 27 ; 1.030 ; 18 ; 5 ; 2.480 ; 1.046 ; 259 ; 13 ; 1.153 ; 8 ; 1 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Pesqueira  ;2610905; 17.635 ; 8.815 ; 3.267 ; 1.475 ; 137 ; 2.589 ; 12 ; 1.335 ; 8.820 ; 3.237 ; 1.446 ; 141 ; 2.521 ; 8 ; 1.467 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Petrolândia  ;2611002; 9.114 ; 4.442 ; 667 ; 372 ; 30 ; 3.144 ; 5 ; 224 ; 4.672 ; 670 ; 390 ; 47 ; 3.309 ; 3 ; 253 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Petrolina  ;2611101; 106.974 ; 53.361 ; 14.563 ; 8.975 ; 1.846 ; 27.790 ; 109 ; 78 ; 53.613 ; 14.616 ; 8.866 ; 1.986 ; 27.989 ; 95 ; 61 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Poção  ;2611200; 2.539 ; 1.285 ; 219 ; 177 ; 7 ; 854 ; 2 ; 26 ; 1.254 ; 206 ; 160 ; 6 ; 856 ; 4 ; 22 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Pombos  ;2611309; 5.936 ; 2.864 ; 800 ; 688 ; 45 ; 1.328 ; 1 ; 2 ; 3.072 ; 832 ; 774 ; 58 ; 1.405 ; 1 ; 2 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Primavera  ;2611408; 2.487 ; 1.233 ; 665 ; 114 ; 24 ; 425 ; 5 ; -   ; 1.254 ; 675 ; 140 ; 32 ; 400 ; 7 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Quipapá  ;2611507; 4.344 ; 2.121 ; 330 ; 327 ; 36 ; 1.366 ; 62 ; -   ; 2.223 ; 285 ; 289 ; 36 ; 1.559 ; 54 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Quixaba  ;2611533; 2.955 ; 1.531 ; 530 ; 387 ; 16 ; 594 ; 2 ; 2 ; 1.424 ; 523 ; 355 ; 15 ; 525 ; 6 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Recife  ;2611606; 353.676 ; 179.149 ; 54.439 ; 36.057 ; 8.746 ; 78.321 ; 1.253 ; 333 ; 174.527 ; 50.849 ; 34.941 ; 8.899 ; 78.138 ; 1.383 ; 317 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Riacho das Almas  ;2611705; 5.281 ; 2.576 ; 364 ; 1.165 ; 31 ; 1.012 ; 3 ; 1 ; 2.705 ; 405 ; 1.170 ; 37 ; 1.088 ; 5 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Ribeirão  ;2611804; 8.314 ; 4.136 ; 2.740 ; 377 ; 58 ; 949 ; 7 ; 5 ; 4.178 ; 2.822 ; 374 ; 45 ; 932 ; 2 ; 3 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Rio Formoso  ;2611903; 6.060 ; 3.000 ; 2.606 ; 68 ; 27 ; 293 ; 5 ; 1 ; 3.060 ; 2.664 ; 69 ; 25 ; 293 ; 2 ; 7 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Sairé  ;2612000; 2.280 ; 1.093 ; 148 ; 572 ; 21 ; 347 ; 2 ; 3 ; 1.187 ; 128 ; 610 ; 14 ; 428 ; 3 ; 4 ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Salgadinho  ;2612109; 1.273 ; 645 ; 354 ; 125 ; 11 ; 152 ; 3 ; -   ; 628 ; 355 ; 101 ; 14 ; 155 ; 3 ; -   ;;;;;;;;;;
 Nordeste  ; Pernambuco  ; Salgueiro  ;2612208; 17.025 ; 8.491 ; 849 ; 1.507 ; 457 ; 5.265 ; 23 ; 390 ; 8.534 ; 913 ; 1.500 ; 485 ; 5.257 ; 25 ; 354 ;;;;;;;;;;
